corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
dummy0,9999,94,298,1
dummy1,9999,94,298,1
dummy2,9999,94,298,1
dummy3,9999,94,298,1
dummy4,9999,94,298,1
dummy5,9999,94,298,1
dummy6,9999,94,298,1
dummy7,9999,94,298,1
dummy8,9999,94,298,1
dummy9,9999,94,298,1
dummy10,9999,94,298,1
dummy11,9999,94,298,1
dummy12,9999,94,298,1
dummy13,9999,94,298,1
dummy14,9999,94,298,1
dummy15,9999,94,298,1
dummy16,9999,94,298,1
dummy17,9999,94,298,1
dummy18,9999,94,298,1
dummy19,9999,94,298,1
dummy20,9999,94,298,1
